date,points,fgp,result
2018-03-03,26,.333,W (+7)
2018-03-06,23,.615,W (+18)
2018-03-07,26,.400,W (+9)
2018-03-09,40,.682,W (+18)
2018-03-12,28,.353,W (+5)
2018-03-15,24,.438,W (+11)
2018-03-17,32,.393,W (+13)
2018-03-18,34,.500,W (+3)
2018-03-20,42,.520,W (+10)
2018-03-22,21,.200,W (+11)
2018-03-24,27,.458,L (-3)
2018-03-25,18,.400,W (+23)
2018-03-30,28,.381,W (+16)
2018-04-01,25,.421,W (+5)
2018-04-03,38,.667,W (+6)
2018-04-05,24,.538,W (+9)
2018-04-07,26,.438,W (+4)
2018-04-10,21,.400,W (+4)
2018-10-17,18,.400,L (-19)
2018-10-20,36,.526,W (+9)
2018-10-21,31,.423,L (-3)
2018-10-24,29,.526,L (-11)
2018-11-03,25,.412,L (-20)
2018-11-05,28,.467,L (-19)
2018-11-08,19,.368,W (+8)
2018-11-10,25,.259,W (+8)
2018-11-11,40,.450,W (+4)
2018-11-13,22,.438,L (-18)
2018-11-15,27,.348,L (-7)
2018-11-17,34,.588,W (+12)
2018-11-21,43,.500,W (+10)
2018-11-23,33,.333,W (+21)
2018-11-24,40,.467,W (+20)
2018-11-26,54,.531,W (+2)
2018-11-28,25,.467,L (-5)
2018-11-30,23,.450,L (-9)
2018-12-01,30,.563,L (-4)
2018-12-03,29,.471,L (-20)
2018-12-06,15,.313,W (+31)
2018-12-08,35,.500,W (+16)
2018-12-11,29,.476,L (-12)
2018-12-13,50,.538,L (-27)
2018-12-15,32,.643,L (-3)
2018-12-17,47,.452,W (+7)
2018-12-19,35,.556,W (+15)
2018-12-20,35,.304,W (+8)
2018-12-22,39,.353,W (+5)
2018-12-25,41,.429,W (+18)
2018-12-27,45,.423,L (-2)
2018-12-29,41,.400,W (+7)
2018-12-31,43,.421,W (+4)
2019-01-03,44,.406,W (+14)
2019-01-05,38,.371,W (+4)
2019-01-07,32,.389,W (+12)
2019-01-09,42,.433,W (+1)
2019-01-11,43,.500,L (-9)
2019-01-13,38,.344,W (+12)
2019-01-14,57,.515,L (-7)
2019-01-16,58,.471,W (+28)
2019-01-19,48,.467,L (-7)
2019-01-21,37,.462,W (+18)
2019-01-23,61,.447,L (-3)
2019-01-25,35,.360,W (+4)
2019-01-27,40,.519,L (-28)
2019-01-29,37,.344,W (+4)
2019-02-01,30,.429,W (+2)
2019-02-02,43,.545,W (+5)
2019-02-04,44,.577,L (-5)
2019-02-06,36,.500,L (-14)
2019-02-09,42,.393,W (+27)
2019-02-11,31,.391,W (+8)
2019-02-13,42,.441,W (+26)
2019-02-21,30,.458,L (-5)
2019-02-25,28,.333,W (+16)
2019-02-27,30,.345,L (-10)
2019-02-28,58,.500,L (-5)
2019-03-03,42,.452,W (+6)
2019-03-05,35,.400,W (+8)
2019-03-08,31,.500,W (+5)
